State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total,Charging Stations,No. of EV chargers sanctioned,No of RO's where EV Charging Facility available
 Andaman & Nicobar Island,162,"1,46,945","1,47,107",0,10,0
 Arunachal Pradesh ,20,"2,52,965","2,52,985",0,0,4
Assam ,"64,766","46,77,053","47,41,819",0,20,19
Bihar ,83335,"1,04,07,078","1,04,90,413",0,37,26
Chandigarh,"2,812","7,46,881","7,49,693",48,70,1
 Chhattisgarh,"20,966","68,36,200","68,57,166",0,25,51
Delhi ,"1,56,393","76,85,600","78,41,993",94,72,66
Goa,"3,870","10,71,570","10,75,440",30,0,17
Gujarat  ,"45,272","2,06,05,484","2,06,50,756",0,278,87
Haryana ,"37,035","1,07,78,270","1,08,15,305",0,50,114
Himachal Pradesh,"1,175","19,64,754","19,65,929",9,10,13
Jammu and Kashmir  ,2941,"18,69,962","18,72,903",0,25,3
Jharkhand ,16811,"64,86,937","65,03,748",30,0,22
Karnataka,"1,20,532","2,68,70,303","2,69,90,835",65,172,100
Kerala ,"30,775","1,57,74,078","1,58,04,853",0,211,39
Ladakh,26,"38,302","38,328",0,0,2
Maharashtra,"1,16,646","3,10,58,990","3,11,75,636",0,317,167
Manipur,586,"4,99,324","4,99,910",0,0,1
Meghalaya,49,"4,59,001","4,59,050",0,40,3
Mizoram,21,"3,15,626","3,15,647",0,0,12
Nagaland,58,"3,39,129","3,39,187",0,0,2
Odisha,"23,371","98,45,073","98,68,444",0,18,26
Puducherry,"2,149","12,13,735","12,15,884",0,10,2
Punjab ,"14,804","1,24,63,019","1,24,77,823",0,0,41
Rajasthan ,"81,338","1,73,27,388","1,74,08,726",49,205,174
Sikkim,21,"97,189","97,210",0,29,2
Tamil Nadu,"82,051","2,98,42,376","2,99,24,427",0,281,76
Tripura,"9,262","6,50,026","6,59,288",0,0,3
UT of DNH and DD,183,"3,07,671","3,07,854",0,0,1
Uttarakhand,"31,008","33,12,041","33,43,049",0,10,2
Uttar Pradesh,"3,37,180","4,00,92,490","4,04,29,670",16,207,128
West Bengal ,"48,767","1,41,34,171","1,41,82,938",0,141,71
Telangana,"6,316","1,45,00,000","1,45,06,316",57,138,70
Andhra Pradesh,"21,565","8,32,302","8,53,867",36,0,65
